X, Y, W, H, Class
20.992637634277344,376.6809387207031,188.61710357666016,282.95330810546875,14
214.5082550048828,173.11387634277344,34.673797607421875,59.368560791015625,2
148.1787109375,312.3067321777344,184.98355102539062,142.22842407226562,9
143.5128173828125,455.71746826171875,120.43008422851562,432.65443420410156,4
96.64431762695312,268.5450439453125,284.99151611328125,165.5052490234375,5
134.81324768066406,335.7090148925781,213.73960876464844,312.3556213378906,8
85.85957336425781,409.9090576171875,251.76170349121094,352.1656951904297,7
86.36434936523438,307.0810241699219,185.75164794921875,208.4384765625,7
214.5082550048828,173.11387634277344,34.673797607421875,59.368560791015625,2
20.992637634277344,376.6809387207031,188.61710357666016,282.95330810546875,14
143.5128173828125,455.71746826171875,120.43008422851562,432.65443420410156,4
148.1787109375,312.3067321777344,184.98355102539062,142.22842407226562,9
96.64431762695312,268.5450439453125,284.99151611328125,165.5052490234375,5
134.81324768066406,335.7090148925781,213.73960876464844,312.3556213378906,8
85.85957336425781,409.9090576171875,251.76170349121094,352.1656951904297,7
20.992637634277344,376.6809387207031,188.61710357666016,282.95330810546875,14
214.5082550048828,173.11387634277344,34.673797607421875,59.368560791015625,2
86.36434936523438,307.0810241699219,185.75164794921875,208.4384765625,7
143.5128173828125,455.71746826171875,120.43008422851562,432.65443420410156,4
148.1787109375,312.3067321777344,184.98355102539062,142.22842407226562,9
96.64431762695312,268.5450439453125,284.99151611328125,165.5052490234375,5
134.81324768066406,335.7090148925781,213.73960876464844,312.3556213378906,8
85.85957336425781,409.9090576171875,251.76170349121094,352.1656951904297,7
86.36434936523438,307.0810241699219,185.75164794921875,208.4384765625,7
214.5082550048828,173.11387634277344,34.673797607421875,59.368560791015625,2
20.992637634277344,376.6809387207031,188.61710357666016,282.95330810546875,14
148.1787109375,312.3067321777344,184.98355102539062,142.22842407226562,9
143.5128173828125,455.71746826171875,120.43008422851562,432.65443420410156,4
96.64431762695312,268.5450439453125,284.99151611328125,165.5052490234375,5
134.81324768066406,335.7090148925781,213.73960876464844,312.3556213378906,8
85.85957336425781,409.9090576171875,251.76170349121094,352.1656951904297,7
20.992637634277344,376.6809387207031,188.61710357666016,282.95330810546875,14
86.36434936523438,307.0810241699219,185.75164794921875,208.4384765625,7
214.5082550048828,173.11387634277344,34.673797607421875,59.368560791015625,2
148.1787109375,312.3067321777344,184.98355102539062,142.22842407226562,9
143.5128173828125,455.71746826171875,120.43008422851562,432.65443420410156,4
96.64431762695312,268.5450439453125,284.99151611328125,165.5052490234375,5
134.81324768066406,335.7090148925781,213.73960876464844,312.3556213378906,8
85.85957336425781,409.9090576171875,251.76170349121094,352.1656951904297,7
20.992637634277344,376.6809387207031,188.61710357666016,282.95330810546875,14
86.36434936523438,307.0810241699219,185.75164794921875,208.4384765625,7
214.5082550048828,173.11387634277344,34.673797607421875,59.368560791015625,2
148.1787109375,312.3067321777344,184.98355102539062,142.22842407226562,9
143.5128173828125,455.71746826171875,120.43008422851562,432.65443420410156,4
96.64431762695312,268.5450439453125,284.99151611328125,165.5052490234375,5
134.81324768066406,335.7090148925781,213.73960876464844,312.3556213378906,8
85.85957336425781,409.9090576171875,251.76170349121094,352.1656951904297,7
214.5082550048828,173.11387634277344,34.673797607421875,59.368560791015625,2
86.36434936523438,307.0810241699219,185.75164794921875,208.4384765625,7
148.1787109375,312.3067321777344,184.98355102539062,142.22842407226562,9
143.5128173828125,455.71746826171875,120.43008422851562,432.65443420410156,4
96.64431762695312,268.5450439453125,284.99151611328125,165.5052490234375,5
134.81324768066406,335.7090148925781,213.73960876464844,312.3556213378906,8
85.85957336425781,409.9090576171875,251.76170349121094,352.1656951904297,7
86.36434936523438,307.0810241699219,185.75164794921875,208.4384765625,7
214.5082550048828,173.11387634277344,34.673797607421875,59.368560791015625,2
143.5128173828125,455.71746826171875,120.43008422851562,432.65443420410156,4
96.64431762695312,268.5450439453125,284.99151611328125,165.5052490234375,5
134.81324768066406,335.7090148925781,213.73960876464844,312.3556213378906,8
148.1787109375,312.3067321777344,184.98355102539062,142.22842407226562,9
85.85957336425781,409.9090576171875,251.76170349121094,352.1656951904297,7
